scenario,group,scenario_folder,mode,images,audio,run_id,multi
scenario1,tarde,scenario1T,day,0,scenario1_audio1,img0_aud1,False
scenario1,tarde,scenario1T,day,1,scenario1_audio1,img1_aud1,False
scenario1,tarde,scenario1T,day,2,scenario1_audio1,img2_aud1,False
scenario1,tarde,scenario1T,day,3,scenario1_audio1,img3_aud1,False
scenario1,tarde,scenario1T,day,54,scenario1_audio1,img54_aud1,False
scenario1,tarde,scenario1T,day,"0,1",scenario1_audio1,img0_img1_aud1,True
scenario1,tarde,scenario1T,day,"0,2",scenario1_audio1,img0_img2_aud1,True
scenario1,tarde,scenario1T,day,"0,3",scenario1_audio1,img0_img3_aud1,True
scenario1,tarde,scenario1T,day,"0,54",scenario1_audio1,img0_img54_aud1,True
scenario1,tarde,scenario1T,day,"1,2",scenario1_audio1,img1_img2_aud1,True
scenario1,tarde,scenario1T,day,"1,3",scenario1_audio1,img1_img3_aud1,True
scenario1,tarde,scenario1T,day,"1,54",scenario1_audio1,img1_img54_aud1,True
scenario1,tarde,scenario1T,day,"2,3",scenario1_audio1,img2_img3_aud1,True
scenario1,tarde,scenario1T,day,"2,54",scenario1_audio1,img2_img54_aud1,True
scenario1,tarde,scenario1T,day,"3,54",scenario1_audio1,img3_img54_aud1,True
scenario1,tarde,scenario1T,day,0,scenario1_audio2,img0_aud2,False
scenario1,tarde,scenario1T,day,1,scenario1_audio2,img1_aud2,False
scenario1,tarde,scenario1T,day,2,scenario1_audio2,img2_aud2,False
scenario1,tarde,scenario1T,day,3,scenario1_audio2,img3_aud2,False
scenario1,tarde,scenario1T,day,54,scenario1_audio2,img54_aud2,False
scenario1,tarde,scenario1T,day,"0,1",scenario1_audio2,img0_img1_aud2,True
scenario1,tarde,scenario1T,day,"0,2",scenario1_audio2,img0_img2_aud2,True
scenario1,tarde,scenario1T,day,"0,3",scenario1_audio2,img0_img3_aud2,True
scenario1,tarde,scenario1T,day,"0,54",scenario1_audio2,img0_img54_aud2,True
scenario1,tarde,scenario1T,day,"1,2",scenario1_audio2,img1_img2_aud2,True
scenario1,tarde,scenario1T,day,"1,3",scenario1_audio2,img1_img3_aud2,True
scenario1,tarde,scenario1T,day,"1,54",scenario1_audio2,img1_img54_aud2,True
scenario1,tarde,scenario1T,day,"2,3",scenario1_audio2,img2_img3_aud2,True
scenario1,tarde,scenario1T,day,"2,54",scenario1_audio2,img2_img54_aud2,True
scenario1,tarde,scenario1T,day,"3,54",scenario1_audio2,img3_img54_aud2,True
scenario1,tarde,scenario1T,day,0,scenario1_audio3,img0_aud3,False
scenario1,tarde,scenario1T,day,1,scenario1_audio3,img1_aud3,False
scenario1,tarde,scenario1T,day,2,scenario1_audio3,img2_aud3,False
scenario1,tarde,scenario1T,day,3,scenario1_audio3,img3_aud3,False
scenario1,tarde,scenario1T,day,54,scenario1_audio3,img54_aud3,False
scenario1,tarde,scenario1T,day,"0,1",scenario1_audio3,img0_img1_aud3,True
scenario1,tarde,scenario1T,day,"0,2",scenario1_audio3,img0_img2_aud3,True
scenario1,tarde,scenario1T,day,"0,3",scenario1_audio3,img0_img3_aud3,True
scenario1,tarde,scenario1T,day,"0,54",scenario1_audio3,img0_img54_aud3,True
scenario1,tarde,scenario1T,day,"1,2",scenario1_audio3,img1_img2_aud3,True
scenario1,tarde,scenario1T,day,"1,3",scenario1_audio3,img1_img3_aud3,True
scenario1,tarde,scenario1T,day,"1,54",scenario1_audio3,img1_img54_aud3,True
scenario1,tarde,scenario1T,day,"2,3",scenario1_audio3,img2_img3_aud3,True
scenario1,tarde,scenario1T,day,"2,54",scenario1_audio3,img2_img54_aud3,True
scenario1,tarde,scenario1T,day,"3,54",scenario1_audio3,img3_img54_aud3,True
scenario1,noite,scenario1N,night,12,scenario1_audio1,img12_aud1,False
scenario1,noite,scenario1N,night,13,scenario1_audio1,img13_aud1,False
scenario1,noite,scenario1N,night,14,scenario1_audio1,img14_aud1,False
scenario1,noite,scenario1N,night,15,scenario1_audio1,img15_aud1,False
scenario1,noite,scenario1N,night,58,scenario1_audio1,img58_aud1,False
scenario1,noite,scenario1N,night,"12,13",scenario1_audio1,img12_img13_aud1,True
scenario1,noite,scenario1N,night,"12,14",scenario1_audio1,img12_img14_aud1,True
scenario1,noite,scenario1N,night,"12,15",scenario1_audio1,img12_img15_aud1,True
scenario1,noite,scenario1N,night,"12,58",scenario1_audio1,img12_img58_aud1,True
scenario1,noite,scenario1N,night,"13,14",scenario1_audio1,img13_img14_aud1,True
scenario1,noite,scenario1N,night,"13,15",scenario1_audio1,img13_img15_aud1,True
scenario1,noite,scenario1N,night,"13,58",scenario1_audio1,img13_img58_aud1,True
scenario1,noite,scenario1N,night,"14,15",scenario1_audio1,img14_img15_aud1,True
scenario1,noite,scenario1N,night,"14,58",scenario1_audio1,img14_img58_aud1,True
scenario1,noite,scenario1N,night,"15,58",scenario1_audio1,img15_img58_aud1,True
scenario1,noite,scenario1N,night,12,scenario1_audio2,img12_aud2,False
scenario1,noite,scenario1N,night,13,scenario1_audio2,img13_aud2,False
scenario1,noite,scenario1N,night,14,scenario1_audio2,img14_aud2,False
scenario1,noite,scenario1N,night,15,scenario1_audio2,img15_aud2,False
scenario1,noite,scenario1N,night,58,scenario1_audio2,img58_aud2,False
scenario1,noite,scenario1N,night,"12,13",scenario1_audio2,img12_img13_aud2,True
scenario1,noite,scenario1N,night,"12,14",scenario1_audio2,img12_img14_aud2,True
scenario1,noite,scenario1N,night,"12,15",scenario1_audio2,img12_img15_aud2,True
scenario1,noite,scenario1N,night,"12,58",scenario1_audio2,img12_img58_aud2,True
scenario1,noite,scenario1N,night,"13,14",scenario1_audio2,img13_img14_aud2,True
scenario1,noite,scenario1N,night,"13,15",scenario1_audio2,img13_img15_aud2,True
scenario1,noite,scenario1N,night,"13,58",scenario1_audio2,img13_img58_aud2,True
scenario1,noite,scenario1N,night,"14,15",scenario1_audio2,img14_img15_aud2,True
scenario1,noite,scenario1N,night,"14,58",scenario1_audio2,img14_img58_aud2,True
scenario1,noite,scenario1N,night,"15,58",scenario1_audio2,img15_img58_aud2,True
scenario1,noite,scenario1N,night,12,scenario1_audio3,img12_aud3,False
scenario1,noite,scenario1N,night,13,scenario1_audio3,img13_aud3,False
scenario1,noite,scenario1N,night,14,scenario1_audio3,img14_aud3,False
scenario1,noite,scenario1N,night,15,scenario1_audio3,img15_aud3,False
scenario1,noite,scenario1N,night,58,scenario1_audio3,img58_aud3,False
scenario1,noite,scenario1N,night,"12,13",scenario1_audio3,img12_img13_aud3,True
scenario1,noite,scenario1N,night,"12,14",scenario1_audio3,img12_img14_aud3,True
scenario1,noite,scenario1N,night,"12,15",scenario1_audio3,img12_img15_aud3,True
scenario1,noite,scenario1N,night,"12,58",scenario1_audio3,img12_img58_aud3,True
scenario1,noite,scenario1N,night,"13,14",scenario1_audio3,img13_img14_aud3,True
scenario1,noite,scenario1N,night,"13,15",scenario1_audio3,img13_img15_aud3,True
scenario1,noite,scenario1N,night,"13,58",scenario1_audio3,img13_img58_aud3,True
scenario1,noite,scenario1N,night,"14,15",scenario1_audio3,img14_img15_aud3,True
scenario1,noite,scenario1N,night,"14,58",scenario1_audio3,img14_img58_aud3,True
scenario1,noite,scenario1N,night,"15,58",scenario1_audio3,img15_img58_aud3,True
scenario1,dia,scenario1D,day,26,scenario1_audio1,img26_aud1,False
scenario1,dia,scenario1D,day,27,scenario1_audio1,img27_aud1,False
scenario1,dia,scenario1D,day,28,scenario1_audio1,img28_aud1,False
scenario1,dia,scenario1D,day,29,scenario1_audio1,img29_aud1,False
scenario1,dia,scenario1D,day,57,scenario1_audio1,img57_aud1,False
scenario1,dia,scenario1D,day,"26,27",scenario1_audio1,img26_img27_aud1,True
scenario1,dia,scenario1D,day,"26,28",scenario1_audio1,img26_img28_aud1,True
scenario1,dia,scenario1D,day,"26,29",scenario1_audio1,img26_img29_aud1,True
scenario1,dia,scenario1D,day,"26,57",scenario1_audio1,img26_img57_aud1,True
scenario1,dia,scenario1D,day,"27,28",scenario1_audio1,img27_img28_aud1,True
scenario1,dia,scenario1D,day,"27,29",scenario1_audio1,img27_img29_aud1,True
scenario1,dia,scenario1D,day,"27,57",scenario1_audio1,img27_img57_aud1,True
scenario1,dia,scenario1D,day,"28,29",scenario1_audio1,img28_img29_aud1,True
scenario1,dia,scenario1D,day,"28,57",scenario1_audio1,img28_img57_aud1,True
scenario1,dia,scenario1D,day,"29,57",scenario1_audio1,img29_img57_aud1,True
scenario1,dia,scenario1D,day,26,scenario1_audio2,img26_aud2,False
scenario1,dia,scenario1D,day,27,scenario1_audio2,img27_aud2,False
scenario1,dia,scenario1D,day,28,scenario1_audio2,img28_aud2,False
scenario1,dia,scenario1D,day,29,scenario1_audio2,img29_aud2,False
scenario1,dia,scenario1D,day,57,scenario1_audio2,img57_aud2,False
scenario1,dia,scenario1D,day,"26,27",scenario1_audio2,img26_img27_aud2,True
scenario1,dia,scenario1D,day,"26,28",scenario1_audio2,img26_img28_aud2,True
scenario1,dia,scenario1D,day,"26,29",scenario1_audio2,img26_img29_aud2,True
scenario1,dia,scenario1D,day,"26,57",scenario1_audio2,img26_img57_aud2,True
scenario1,dia,scenario1D,day,"27,28",scenario1_audio2,img27_img28_aud2,True
scenario1,dia,scenario1D,day,"27,29",scenario1_audio2,img27_img29_aud2,True
scenario1,dia,scenario1D,day,"27,57",scenario1_audio2,img27_img57_aud2,True
scenario1,dia,scenario1D,day,"28,29",scenario1_audio2,img28_img29_aud2,True
scenario1,dia,scenario1D,day,"28,57",scenario1_audio2,img28_img57_aud2,True
scenario1,dia,scenario1D,day,"29,57",scenario1_audio2,img29_img57_aud2,True
scenario1,dia,scenario1D,day,26,scenario1_audio3,img26_aud3,False
scenario1,dia,scenario1D,day,27,scenario1_audio3,img27_aud3,False
scenario1,dia,scenario1D,day,28,scenario1_audio3,img28_aud3,False
scenario1,dia,scenario1D,day,29,scenario1_audio3,img29_aud3,False
scenario1,dia,scenario1D,day,57,scenario1_audio3,img57_aud3,False
scenario1,dia,scenario1D,day,"26,27",scenario1_audio3,img26_img27_aud3,True
scenario1,dia,scenario1D,day,"26,28",scenario1_audio3,img26_img28_aud3,True
scenario1,dia,scenario1D,day,"26,29",scenario1_audio3,img26_img29_aud3,True
scenario1,dia,scenario1D,day,"26,57",scenario1_audio3,img26_img57_aud3,True
scenario1,dia,scenario1D,day,"27,28",scenario1_audio3,img27_img28_aud3,True
scenario1,dia,scenario1D,day,"27,29",scenario1_audio3,img27_img29_aud3,True
scenario1,dia,scenario1D,day,"27,57",scenario1_audio3,img27_img57_aud3,True
scenario1,dia,scenario1D,day,"28,29",scenario1_audio3,img28_img29_aud3,True
scenario1,dia,scenario1D,day,"28,57",scenario1_audio3,img28_img57_aud3,True
scenario1,dia,scenario1D,day,"29,57",scenario1_audio3,img29_img57_aud3,True
scenario2,tarde,scenario2T,day,4,scenario2_audio1,img4_aud1,False
scenario2,tarde,scenario2T,day,5,scenario2_audio1,img5_aud1,False
scenario2,tarde,scenario2T,day,6,scenario2_audio1,img6_aud1,False
scenario2,tarde,scenario2T,day,7,scenario2_audio1,img7_aud1,False
scenario2,tarde,scenario2T,day,25,scenario2_audio1,img25_aud1,False
scenario2,tarde,scenario2T,day,"4,5",scenario2_audio1,img4_img5_aud1,True
scenario2,tarde,scenario2T,day,"4,6",scenario2_audio1,img4_img6_aud1,True
scenario2,tarde,scenario2T,day,"4,7",scenario2_audio1,img4_img7_aud1,True
scenario2,tarde,scenario2T,day,"4,25",scenario2_audio1,img4_img25_aud1,True
scenario2,tarde,scenario2T,day,"5,6",scenario2_audio1,img5_img6_aud1,True
scenario2,tarde,scenario2T,day,"5,7",scenario2_audio1,img5_img7_aud1,True
scenario2,tarde,scenario2T,day,"5,25",scenario2_audio1,img5_img25_aud1,True
scenario2,tarde,scenario2T,day,"6,7",scenario2_audio1,img6_img7_aud1,True
scenario2,tarde,scenario2T,day,"6,25",scenario2_audio1,img6_img25_aud1,True
scenario2,tarde,scenario2T,day,"7,25",scenario2_audio1,img7_img25_aud1,True
scenario2,tarde,scenario2T,day,4,scenario2_audio2,img4_aud2,False
scenario2,tarde,scenario2T,day,5,scenario2_audio2,img5_aud2,False
scenario2,tarde,scenario2T,day,6,scenario2_audio2,img6_aud2,False
scenario2,tarde,scenario2T,day,7,scenario2_audio2,img7_aud2,False
scenario2,tarde,scenario2T,day,25,scenario2_audio2,img25_aud2,False
scenario2,tarde,scenario2T,day,"4,5",scenario2_audio2,img4_img5_aud2,True
scenario2,tarde,scenario2T,day,"4,6",scenario2_audio2,img4_img6_aud2,True
scenario2,tarde,scenario2T,day,"4,7",scenario2_audio2,img4_img7_aud2,True
scenario2,tarde,scenario2T,day,"4,25",scenario2_audio2,img4_img25_aud2,True
scenario2,tarde,scenario2T,day,"5,6",scenario2_audio2,img5_img6_aud2,True
scenario2,tarde,scenario2T,day,"5,7",scenario2_audio2,img5_img7_aud2,True
scenario2,tarde,scenario2T,day,"5,25",scenario2_audio2,img5_img25_aud2,True
scenario2,tarde,scenario2T,day,"6,7",scenario2_audio2,img6_img7_aud2,True
scenario2,tarde,scenario2T,day,"6,25",scenario2_audio2,img6_img25_aud2,True
scenario2,tarde,scenario2T,day,"7,25",scenario2_audio2,img7_img25_aud2,True
scenario2,tarde,scenario2T,day,4,scenario2_audio3,img4_aud3,False
scenario2,tarde,scenario2T,day,5,scenario2_audio3,img5_aud3,False
scenario2,tarde,scenario2T,day,6,scenario2_audio3,img6_aud3,False
scenario2,tarde,scenario2T,day,7,scenario2_audio3,img7_aud3,False
scenario2,tarde,scenario2T,day,25,scenario2_audio3,img25_aud3,False
scenario2,tarde,scenario2T,day,"4,5",scenario2_audio3,img4_img5_aud3,True
scenario2,tarde,scenario2T,day,"4,6",scenario2_audio3,img4_img6_aud3,True
scenario2,tarde,scenario2T,day,"4,7",scenario2_audio3,img4_img7_aud3,True
scenario2,tarde,scenario2T,day,"4,25",scenario2_audio3,img4_img25_aud3,True
scenario2,tarde,scenario2T,day,"5,6",scenario2_audio3,img5_img6_aud3,True
scenario2,tarde,scenario2T,day,"5,7",scenario2_audio3,img5_img7_aud3,True
scenario2,tarde,scenario2T,day,"5,25",scenario2_audio3,img5_img25_aud3,True
scenario2,tarde,scenario2T,day,"6,7",scenario2_audio3,img6_img7_aud3,True
scenario2,tarde,scenario2T,day,"6,25",scenario2_audio3,img6_img25_aud3,True
scenario2,tarde,scenario2T,day,"7,25",scenario2_audio3,img7_img25_aud3,True
scenario2,noite,scenario2N,night,16,scenario2_audio1,img16_aud1,False
scenario2,noite,scenario2N,night,17,scenario2_audio1,img17_aud1,False
scenario2,noite,scenario2N,night,18,scenario2_audio1,img18_aud1,False
scenario2,noite,scenario2N,night,19,scenario2_audio1,img19_aud1,False
scenario2,noite,scenario2N,night,20,scenario2_audio1,img20_aud1,False
scenario2,noite,scenario2N,night,"16,17",scenario2_audio1,img16_img17_aud1,True
scenario2,noite,scenario2N,night,"16,18",scenario2_audio1,img16_img18_aud1,True
scenario2,noite,scenario2N,night,"16,19",scenario2_audio1,img16_img19_aud1,True
scenario2,noite,scenario2N,night,"16,20",scenario2_audio1,img16_img20_aud1,True
scenario2,noite,scenario2N,night,"17,18",scenario2_audio1,img17_img18_aud1,True
scenario2,noite,scenario2N,night,"17,19",scenario2_audio1,img17_img19_aud1,True
scenario2,noite,scenario2N,night,"17,20",scenario2_audio1,img17_img20_aud1,True
scenario2,noite,scenario2N,night,"18,19",scenario2_audio1,img18_img19_aud1,True
scenario2,noite,scenario2N,night,"18,20",scenario2_audio1,img18_img20_aud1,True
scenario2,noite,scenario2N,night,"19,20",scenario2_audio1,img19_img20_aud1,True
scenario2,noite,scenario2N,night,16,scenario2_audio2,img16_aud2,False
scenario2,noite,scenario2N,night,17,scenario2_audio2,img17_aud2,False
scenario2,noite,scenario2N,night,18,scenario2_audio2,img18_aud2,False
scenario2,noite,scenario2N,night,19,scenario2_audio2,img19_aud2,False
scenario2,noite,scenario2N,night,20,scenario2_audio2,img20_aud2,False
scenario2,noite,scenario2N,night,"16,17",scenario2_audio2,img16_img17_aud2,True
scenario2,noite,scenario2N,night,"16,18",scenario2_audio2,img16_img18_aud2,True
scenario2,noite,scenario2N,night,"16,19",scenario2_audio2,img16_img19_aud2,True
scenario2,noite,scenario2N,night,"16,20",scenario2_audio2,img16_img20_aud2,True
scenario2,noite,scenario2N,night,"17,18",scenario2_audio2,img17_img18_aud2,True
scenario2,noite,scenario2N,night,"17,19",scenario2_audio2,img17_img19_aud2,True
scenario2,noite,scenario2N,night,"17,20",scenario2_audio2,img17_img20_aud2,True
scenario2,noite,scenario2N,night,"18,19",scenario2_audio2,img18_img19_aud2,True
scenario2,noite,scenario2N,night,"18,20",scenario2_audio2,img18_img20_aud2,True
scenario2,noite,scenario2N,night,"19,20",scenario2_audio2,img19_img20_aud2,True
scenario2,noite,scenario2N,night,16,scenario2_audio3,img16_aud3,False
scenario2,noite,scenario2N,night,17,scenario2_audio3,img17_aud3,False
scenario2,noite,scenario2N,night,18,scenario2_audio3,img18_aud3,False
scenario2,noite,scenario2N,night,19,scenario2_audio3,img19_aud3,False
scenario2,noite,scenario2N,night,20,scenario2_audio3,img20_aud3,False
scenario2,noite,scenario2N,night,"16,17",scenario2_audio3,img16_img17_aud3,True
scenario2,noite,scenario2N,night,"16,18",scenario2_audio3,img16_img18_aud3,True
scenario2,noite,scenario2N,night,"16,19",scenario2_audio3,img16_img19_aud3,True
scenario2,noite,scenario2N,night,"16,20",scenario2_audio3,img16_img20_aud3,True
scenario2,noite,scenario2N,night,"17,18",scenario2_audio3,img17_img18_aud3,True
scenario2,noite,scenario2N,night,"17,19",scenario2_audio3,img17_img19_aud3,True
scenario2,noite,scenario2N,night,"17,20",scenario2_audio3,img17_img20_aud3,True
scenario2,noite,scenario2N,night,"18,19",scenario2_audio3,img18_img19_aud3,True
scenario2,noite,scenario2N,night,"18,20",scenario2_audio3,img18_img20_aud3,True
scenario2,noite,scenario2N,night,"19,20",scenario2_audio3,img19_img20_aud3,True
scenario2,dia,scenario2D,day,30,scenario2_audio1,img30_aud1,False
scenario2,dia,scenario2D,day,31,scenario2_audio1,img31_aud1,False
scenario2,dia,scenario2D,day,32,scenario2_audio1,img32_aud1,False
scenario2,dia,scenario2D,day,33,scenario2_audio1,img33_aud1,False
scenario2,dia,scenario2D,day,34,scenario2_audio1,img34_aud1,False
scenario2,dia,scenario2D,day,"30,31",scenario2_audio1,img30_img31_aud1,True
scenario2,dia,scenario2D,day,"30,32",scenario2_audio1,img30_img32_aud1,True
scenario2,dia,scenario2D,day,"30,33",scenario2_audio1,img30_img33_aud1,True
scenario2,dia,scenario2D,day,"30,34",scenario2_audio1,img30_img34_aud1,True
scenario2,dia,scenario2D,day,"31,32",scenario2_audio1,img31_img32_aud1,True
scenario2,dia,scenario2D,day,"31,33",scenario2_audio1,img31_img33_aud1,True
scenario2,dia,scenario2D,day,"31,34",scenario2_audio1,img31_img34_aud1,True
scenario2,dia,scenario2D,day,"32,33",scenario2_audio1,img32_img33_aud1,True
scenario2,dia,scenario2D,day,"32,34",scenario2_audio1,img32_img34_aud1,True
scenario2,dia,scenario2D,day,"33,34",scenario2_audio1,img33_img34_aud1,True
scenario2,dia,scenario2D,day,30,scenario2_audio2,img30_aud2,False
scenario2,dia,scenario2D,day,31,scenario2_audio2,img31_aud2,False
scenario2,dia,scenario2D,day,32,scenario2_audio2,img32_aud2,False
scenario2,dia,scenario2D,day,33,scenario2_audio2,img33_aud2,False
scenario2,dia,scenario2D,day,34,scenario2_audio2,img34_aud2,False
scenario2,dia,scenario2D,day,"30,31",scenario2_audio2,img30_img31_aud2,True
scenario2,dia,scenario2D,day,"30,32",scenario2_audio2,img30_img32_aud2,True
scenario2,dia,scenario2D,day,"30,33",scenario2_audio2,img30_img33_aud2,True
scenario2,dia,scenario2D,day,"30,34",scenario2_audio2,img30_img34_aud2,True
scenario2,dia,scenario2D,day,"31,32",scenario2_audio2,img31_img32_aud2,True
scenario2,dia,scenario2D,day,"31,33",scenario2_audio2,img31_img33_aud2,True
scenario2,dia,scenario2D,day,"31,34",scenario2_audio2,img31_img34_aud2,True
scenario2,dia,scenario2D,day,"32,33",scenario2_audio2,img32_img33_aud2,True
scenario2,dia,scenario2D,day,"32,34",scenario2_audio2,img32_img34_aud2,True
scenario2,dia,scenario2D,day,"33,34",scenario2_audio2,img33_img34_aud2,True
scenario2,dia,scenario2D,day,30,scenario2_audio3,img30_aud3,False
scenario2,dia,scenario2D,day,31,scenario2_audio3,img31_aud3,False
scenario2,dia,scenario2D,day,32,scenario2_audio3,img32_aud3,False
scenario2,dia,scenario2D,day,33,scenario2_audio3,img33_aud3,False
scenario2,dia,scenario2D,day,34,scenario2_audio3,img34_aud3,False
scenario2,dia,scenario2D,day,"30,31",scenario2_audio3,img30_img31_aud3,True
scenario2,dia,scenario2D,day,"30,32",scenario2_audio3,img30_img32_aud3,True
scenario2,dia,scenario2D,day,"30,33",scenario2_audio3,img30_img33_aud3,True
scenario2,dia,scenario2D,day,"30,34",scenario2_audio3,img30_img34_aud3,True
scenario2,dia,scenario2D,day,"31,32",scenario2_audio3,img31_img32_aud3,True
scenario2,dia,scenario2D,day,"31,33",scenario2_audio3,img31_img33_aud3,True
scenario2,dia,scenario2D,day,"31,34",scenario2_audio3,img31_img34_aud3,True
scenario2,dia,scenario2D,day,"32,33",scenario2_audio3,img32_img33_aud3,True
scenario2,dia,scenario2D,day,"32,34",scenario2_audio3,img32_img34_aud3,True
scenario2,dia,scenario2D,day,"33,34",scenario2_audio3,img33_img34_aud3,True
scenario3,tarde,scenario3T,day,8,scenario3_audio1,img8_aud1,False
scenario3,tarde,scenario3T,day,9,scenario3_audio1,img9_aud1,False
scenario3,tarde,scenario3T,day,10,scenario3_audio1,img10_aud1,False
scenario3,tarde,scenario3T,day,11,scenario3_audio1,img11_aud1,False
scenario3,tarde,scenario3T,day,55,scenario3_audio1,img55_aud1,False
scenario3,tarde,scenario3T,day,"8,9",scenario3_audio1,img8_img9_aud1,True
scenario3,tarde,scenario3T,day,"8,10",scenario3_audio1,img8_img10_aud1,True
scenario3,tarde,scenario3T,day,"8,11",scenario3_audio1,img8_img11_aud1,True
scenario3,tarde,scenario3T,day,"8,55",scenario3_audio1,img8_img55_aud1,True
scenario3,tarde,scenario3T,day,"9,10",scenario3_audio1,img9_img10_aud1,True
scenario3,tarde,scenario3T,day,"9,11",scenario3_audio1,img9_img11_aud1,True
scenario3,tarde,scenario3T,day,"9,55",scenario3_audio1,img9_img55_aud1,True
scenario3,tarde,scenario3T,day,"10,11",scenario3_audio1,img10_img11_aud1,True
scenario3,tarde,scenario3T,day,"10,55",scenario3_audio1,img10_img55_aud1,True
scenario3,tarde,scenario3T,day,"11,55",scenario3_audio1,img11_img55_aud1,True
scenario3,tarde,scenario3T,day,8,scenario3_audio2,img8_aud2,False
scenario3,tarde,scenario3T,day,9,scenario3_audio2,img9_aud2,False
scenario3,tarde,scenario3T,day,10,scenario3_audio2,img10_aud2,False
scenario3,tarde,scenario3T,day,11,scenario3_audio2,img11_aud2,False
scenario3,tarde,scenario3T,day,55,scenario3_audio2,img55_aud2,False
scenario3,tarde,scenario3T,day,"8,9",scenario3_audio2,img8_img9_aud2,True
scenario3,tarde,scenario3T,day,"8,10",scenario3_audio2,img8_img10_aud2,True
scenario3,tarde,scenario3T,day,"8,11",scenario3_audio2,img8_img11_aud2,True
scenario3,tarde,scenario3T,day,"8,55",scenario3_audio2,img8_img55_aud2,True
